rank,title,artist,album,img_url
67,비의 랩소디,임재현,비의 랩소디,https://image.bugsm.co.kr/album/images/50/206088/20608836.jpg?version=20240209024356.0
68,주저하는 연인들을 위해,잔나비,전설,https://image.bugsm.co.kr/album/images/50/202371/20237198.jpg?version=20210421045158.0
69,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),https://image.bugsm.co.kr/album/images/50/40901/4090168.jpg?version=20240209005514.0
70,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,https://image.bugsm.co.kr/album/images/50/40993/4099372.jpg?version=20240517174204.0
71,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,https://image.bugsm.co.kr/album/images/50/40997/4099728.jpg?version=20250101001138.0
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,https://image.bugsm.co.kr/album/images/50/201547/20154722.jpg?version=20230601001519.0
73,Live My Life,aespa,Armageddon - The 1st Album,https://image.bugsm.co.kr/album/images/50/41011/4101141.jpg?version=20241102010939.0
74,Drama,aespa,Drama - The 4th Mini Album,https://image.bugsm.co.kr/album/images/50/40929/4092948.jpg?version=20241204025434.0
75,사랑인가 봐,멜로망스(MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://image.bugsm.co.kr/album/images/50/40713/4071363.jpg?version=20220330120007.0
76,Girls Never Die,tripleS (트리플에스),<ASSEMBLE24>,https://image.bugsm.co.kr/album/images/50/41009/4100945.jpg?version=20250107015946.0
77,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',https://image.bugsm.co.kr/album/images/50/40885/4088574.jpg?version=20231220032138.0
78,아직 거기 살아,DAY6 (데이식스),Band Aid,https://image.bugsm.co.kr/album/images/50/206680/20668087.jpg?version=20240903005613.0
